process,hurst_true,method,estimate_mean,estimate_std,estimate_count,lag1_acf_mean,absolute_error
fGn,0.3,custom_dfa,0.29866632304411955,0.022535122261251157,100,-0.24357743376104138,0.0013336769558804362
fGn,0.3,custom_rs,0.3838840837663776,0.017755353322656865,100,-0.24357743376104138,0.08388408376637763
fGn,0.3,nolds_dfa,0.32571760463934224,0.01082031497464257,20,-0.24260174123961087,0.02571760463934225
fGn,0.3,nolds_rs,0.3497871583195543,0.013418864150803587,20,-0.24260174123961087,0.049787158319554325
fGn,0.5,custom_dfa,0.49628005458973723,0.031059094741923365,100,0.0008742848718253407,0.0037199454102627705
fGn,0.5,custom_rs,0.54916849791142,0.022556573616500798,100,0.0008742848718253407,0.04916849791141997
fGn,0.5,nolds_dfa,0.5169289090350677,0.017378576234147142,20,-0.0034718936706282866,0.01692890903506772
fGn,0.5,nolds_rs,0.5046826622139753,0.018628701830337914,20,-0.0034718936706282866,0.004682662213975286
fGn,0.7,custom_dfa,0.6963399129911284,0.038982633054386664,100,0.31836587042160863,0.0036600870088715487
fGn,0.7,custom_rs,0.7140587151600729,0.028644452792773608,100,0.31836587042160863,0.014058715160072954
fGn,0.7,nolds_dfa,0.7127778997995098,0.016114353432003698,20,0.31651534325851494,0.012777899799509829
fGn,0.7,nolds_rs,0.6516280057735839,0.024600624600815604,20,0.31651534325851494,0.048371994226416026
fGn,0.9,custom_dfa,0.8887720071089844,0.04541961451285204,100,0.6771802623473766,0.011227992891015615
fGn,0.9,custom_rs,0.8502606399889698,0.029951508083489658,100,0.6771802623473766,0.04973936001103019
fGn,0.9,nolds_dfa,0.91254690341102,0.022733807093392327,20,0.6707660851842838,0.012546903411019938
fGn,0.9,nolds_rs,0.781018847371708,0.027711190917568723,20,0.6707660851842838,0.11898115262829201
